GRDC;GSIM;Error_m3/s;NRMSE;KGE;T-test;F-test;Distance_m;Months;Station_grdc;Station_gsim;River_grdc;River_gsim;Agree
4101200;US_0009219;0.2;4.35E-06;1;1.00E+00;5.00E-01;5;364;BELOW TUTAK CREEK NEAR KIVALINA, AK;BELOW TUTAK CREEK NEAR KIVALINA AK;WULIK RIVER;WULIK RIVER;1
4101400;US_0009226;0.113;0.000192382;1;0.999119926;0.49917468;2;425;NEAR DEADHORSE, AK;NEAR DEADHORSE AK;KUPARUK RIVER;KUPARUK RIVER;1
4101451;US_0009228;0.191;3.29E-06;1;1.00E+00;5.00E-01;695;381;NEAR PUMP STATION 3;NEAR PUMP STA 3 AK;SAGAVANIRKTOK RIVER;SAGAVANIRKTOK RIVER;1
4101501;US_0009224;0.101;5.02E-07;1;1.00E+00;5.00E-01;305;155;UMIAT, AK;AT UMIAT AK;COLVILLE RIVER;COLVILLE RIVER;1
4101550;US_0009223;0.016;0.000276475;1;0.999264697;0.499962751;874;57;NEAR NUIQSUT AK;NEAR NUIQSUT AK;JUDY CREEK;JUDY CREEK;1
4101560;US_0009222;0.02;0.000231974;1;0.999408028;0.499963512;258;59;NEAR NUIQSUT, AK;NEAR NUIQSUT AK;FISH CREEK;FISH CREEK;1
4101600;US_0009221;0.012;0.00062168;1;0.998078899;0.499264551;864;57;BELOW FRY CREEK NEAR ALAKTAK, AK;BELOW FRY CREEK NEAR ALAKTAK AK;IKPIKPUK RIVER;IKPIKPUK RIVER;1
4101700;US_0009220;0.023;2.58E-06;1;1.00E+00;5.00E-01;6;117;ATKASUK, AK;AT ATKASUK AK;MEADE RIVER;MEADE RIVER;1
4101900;US_0009217;0.431;0.000432024;1;0.998406057;0.497697965;3;350;NEAR KIANA, ALAS.;NEAR KIANA AK;KOBUK RIVER;KOBUK RIVER;1
4102100;US_0009177;0.948;7.02E-07;1;1.00E+00;5.00E-01;1193;410;CROOKED CREEK, ALAS.;AT CROOKED CREEK AK;KUSKOKWIM RIVER;KUSKOKWIM RIVER;1
4102200;US_0009172;0.191;5.33E-05;1;1.00E+00;5.00E-01;3;305;NEAR DILLINGHAM, AK;NEAR DILLINGHAM AK;NUYAKUK RIVER;NUYAKUK RIVER;1
4102400;US_0009214;0.059;5.61E-05;1;1.00E+00;5.00E-01;555;105;ABOVE CHIROSKEY RIVER NEAR UNALAKLEET,AK;ABOVE CHIROSKEY RIVER NEAR UNALAKLEET AK;UNALAKLEET RIVER;UNALAKLEET RIVER;1
4102740;US_0009175;0.226;9.84E-07;1;1.00E+00;5.00E-01;6;158;EKWOK, AK;AT EKWOK AK;NUSHAGAK RIVER;NUSHAGAK RIVER;1
4102750;US_0009169;0.038;2.00E-06;1;1.00E+00;5.00E-01;5;53;NEAR ILIAMNA, AK;NEAR ILIAMNA AK;NEWHALEN RIVER;NEWHALEN RIVER;1
4103200;US_0009213;3.592;6.20E-07;1;1.00E+00;5.00E-01;4;359;PILOT STATION, AK;AT PILOT STATION AK;YUKON RIVER;YUKON RIVER;1
4103400;US_0009180;0.059;5.86E-06;1;1.00E+00;5.00E-01;6;97;NEAR NATION, AK;NEAR NATION AK;NATION RIVER;NATION RIVER;1
4103500;US_0009211;0.041;8.31E-07;1;1.00E+00;5.00E-01;6;32;HUGHES, ALAS.;AT HUGHES AK;KOYUKUK RIVER;KOYUKUK RIVER;1
4103505;US_0009209;0.013;5.48E-06;1;1.00E+00;5.00E-01;5;45;NEAR WISEMAN, ALAS.;NEAR WISEMAN AK;KOYUKUK RIVER;MF KOYUKUK RIVER;1
4103550;US_0009185;2.174;4.51E-07;1;1.00E+00;5.00E-01;5;416;NEAR STEVENS VILLAGE AK;NEAR STEVENS VILLAGE AK;YUKON RIVER;YUKON RIVER;1
4103600;US_0009202;0.618;9.46E-07;1;1.00E+00;5.00E-01;4;414;NENANA, ALAS.;AT NENANA AK;TANANA RIVER;TANANA RIVER;1
4103602;US_0009194;0.56;9.48E-07;1;1.00E+00;5.00E-01;5;413;FAIRBANKS, AK;AT FAIRBANKS AK;TANANA RIVER;TANANA RIVER;1
4103615;US_0009190;0.171;0.040211681;1;0.757799712;0.210594073;4;210;NEAR BIG DELTA, AK;NEAR BIG DELTA AK;GOODPASTER RIVER;GOODPASTER RIVER;1
4103621;US_0009205;0.027;2.11E-06;1;1.00E+00;5.00E-01;3;46;HEALY, ALAS.;AT HEALY AK;NENANA RIVER;NENANA RIVER;1
4103630;US_0009199;0.218;4.52E-06;1;1.00E+00;5.00E-01;4;414;FAIRBANKS, AK;AT FAIRBANKS AK;CHENA RIVER;CHENA RIVER;1
4103631;US_0009197;0.139;6.11E-06;1;1.00E+00;5.00E-01;2;309;BELOW MOOSE CREEK DAM, ALAS.;BELOW MOOSE CREEK DAM AK;CHENA RIVER;CHENA RIVER;1
4103632;US_0009196;0.007;2.91E-05;1;1.00E+00;5.00E-01;4;8;NEAR N POLE, ALAS.;NEAR N POLE AK;CHENA RIVER;CHENA RIVER;1
4103633;US_0009195;0.249;9.41E-06;1;1.00E+00;5.00E-01;5;411;NEAR TWO RIVERS, AK;NEAR TWO RIVERS AK;CHENA RIVER;CHENA RIVER;1
4103635;US_0009198;0.273;3.46E-05;1;1.00E+00;5.00E-01;5;413;NEAR FAIRBANKS, AK;NEAR FAIRBANKS AK;LITTLE CHENA RIVER;L CHENA RIVER;1
4103650;US_0009193;0.221;4.29E-06;1;1.00E+00;5.00E-01;6;410;NEAR SALCHAKET, ALAS.;NEAR SALCHAKET AK;SALCHA RIVER;SALCHA RIVER;1
4103710;US_0009182;0.22;4.48E-07;1;1.00E+00;5.00E-01;3;323;NEAR INTERNATIONAL BOUNDARY YT;NEAR INTERNATIONAL BOUNDARY YT;PORCUPINE RIVER;PORCUPINE RIVER;1
4103750;US_0009189;0.124;1.34E-06;1;1.00E+00;5.00E-01;5;129;NEAR TANACROSS, ALAS.;NEAR TANACROSS AK;TANANA RIVER;TANANA RIVER;1
4103800;US_0009179;1.515;5.12E-07;1;1.00E+00;5.00E-01;4;411;EAGLE AK;AT EAGLE AK;YUKON RIVER;YUKON RIVER;1
4103810;US_0009181;0.035;3.71E-06;1;1.00E+00;5.00E-01;8;58;NEAR NATION, ALAS.;NEAR NATION AK;KANDIK RIVER;KANDIK RIVER;1
4103820;US_0009178;0.1;2.04E-06;1;1.00E+00;5.00E-01;5;151;NEAR STEELE CREEK, ALAS.;NEAR STEELE CREEK AK;FORTYMILE RIVER;FORTYMILE RIVER;1
4105050;US_0009121;0.337;6.66E-07;1;1.00E+00;5.00E-01;2;244;NEAR YAKUTAT;NEAR YAKUTAT AK;ALSEK RIVER;ALSEK RIVER;1
4105060;CA_0003931;4334.687;0.131530741;0.7877;0.489602779;0.270834808;35499;14;DRY BAY NEAR YAKUTAT, AK;NEAR YAKUTAT;ALSEK RIVER;ALSEK RIVER;1
4105300;US_0009152;0.15;0.001538864;1;0.997001278;0.498994116;6;211;NEAR PALMER, AK;NEAR PALMER AK;KNIK RIVER;KNIK RIVER;1
4105310;US_0009155;0.156;0.001010525;1;0.998127596;0.499259779;6;212;PALMER, AK;AT PALMER AK;MATANUSKA RIVER;MATANUSKA RIVER;1
4105450;US_0009160;0.272;2.32E-06;1;1.00E+00;5.00E-01;4;411;NEAR TALKEETNA, ALAS.;NEAR TALKEETNA AK;TALKEETNA RIVER;TALKEETNA RIVER;1
4105700;US_0009128;0.262;6.72E-07;1;1.00E+00;5.00E-01;4;124;NEAR CHITINA, ALAS.;NEAR CHITINA AK;COPPER RIVER;COPPER RIVER;1
4105705;US_0009133;0.009;6.77E-05;0.9999;1.00E+00;5.00E-01;240;12;NEAR LAWING, AK;NEAR LAWING AK;WOLVERINE CREEK;WOLVERINE CREEK;1
4105710;US_0009129;0.613;0.001059391;1;0.999266844;0.499961461;5;161;MILLION DOLLAR BRIDGE NEAR CORDOVA, AK.;AT MILLION DOLLAR BRIDGE NEAR CORDOVA AK;COPPER RIVER;COPPER RIVER;1
4105720;US_0009125;0.153;0.000137574;1;0.999515087;0.49995706;2;248;SOURDROUGH, AK;AT SOURDOUGH AK;GULKANA RIVER;GULKANA RIVER;1
4105800;US_0009165;0.464;0.000378439;1;0.999156377;0.499670246;4;171;SUSITNA STATION AK;AT SUSITNA STATION AK;SUSITNA RIVER;SUSITNA RIVER;1
4105805;US_0009164;0.026;1.76E-06;1;1.00E+00;5.00E-01;4;32;NEAR SKWENTNA, AK;NEAR SKWENTNA AK;SKWENTNA RIVER;SKWENTNA RIVER;1
4105810;US_0009161;0.135;7.76E-07;1;1.00E+00;5.00E-01;602;104;SUNSHINE AK;AT SUNSHINE AK;SUSITNA RIVER;SUSITNA RIVER;1
4105820;US_0009159;0.303;1.36E-06;1;1.00E+00;5.00E-01;3;360;GOLD CREEK, AK;AT GOLD CREEK AK;SUSITNA RIVER;SUSITNA RIVER;1
4105830;US_0009163;0.051;6.51E-06;1;1.00E+00;5.00E-01;3;114;NEAR WILLOW, AK;NEAR WILLOW AK;DESHKA RIVER;DESHKA RIVER;1
4105850;US_0009146;0.263;1.61E-06;1;1.00E+00;5.00E-01;5;419;SOLDOTNA, AK;AT SOLDOTNA AK;KENAI RIVER;KENAI RIVER;1
4105851;US_0009145;0.055;1.64E-06;1;1.00E+00;5.00E-01;7;118;BELOW KILLEY RIVER NEAR STERLING, AK;BELOW MOUTH OF KILLEY RIVER NEAR STERLING AK;KENAI RIVER;KENAI RIVER;1
4105852;US_0009144;0.113;1.63E-06;1;1.00E+00;5.00E-01;1;214;BELOW SKILAK LAKE OUTLET, AK;BELOW SKILAK LK OUTLET NEAR STERLING AK;KENAI RIVER;KENAI RIVER;1
4106600;US_0009104;0.277;7.22E-07;1;1.00E+00;5.00E-01;271;332;NEAR JUNEAU, AK;NEAR JUNEAU AK;TAKU RIVER;TAKU RIVER;1
4113300;US_0003813;0.197;8.59E-05;1;1.00E+00;5.00E-01;143;410;GRAND FORKS, N.D.;AT GRAND FORKS, ND;RED RIVER;RED RIVER OF THE NORTH;1
4113301;US_0003824;0.201;2.61E-05;1;1.00E+00;5.00E-01;3;413;DRAYTON, ND;AT DRAYTON, ND;RED RIVER;RED RIVER OF THE NORTH;1
4113302;US_0003800;0.159;3.51E-05;1;1.00E+00;5.00E-01;2;408;HALSTAD, MN;AT HALSTAD, MN;RED RIVER;RED RIVER OF THE NORTH;1
4113303;US_0003773;0.195;8.90E-05;1;1.00E+00;5.00E-01;3;418;FARGO, ND;AT FARGO, ND;RED RIVER;RED RIVER OF THE NORTH;1
4113304;US_0003768;0.177;4.27E-05;1;1.00E+00;5.00E-01;2;425;HICKSON, ND;AT HICKSON, ND;RED RIVER;RED RIVER OF THE NORTH;1
4113305;US_0003767;0.18;7.87E-05;1;1.00E+00;5.00E-01;443;423;WAHPETON, ND;AT WAHPETON, ND;RED RIVER;RED RIVER OF THE NORTH;1
4113306;US_0003797;0.199;1.37E-05;1;1.00E+00;5.00E-01;1039;345;TWIN VALLEY, MN;AT TWIN VALLEY, MN;WILD RICE RIVER;WILD RICE RIVER;1
4113307;US_0003803;0.268;1.01E-05;1;1.00E+00;5.00E-01;1058;410;HILLSBORO, ND;AT HILLSBORO, ND;GOOSE RIVER;GOOSE RIVER;1
4113308;US_0003818;0.274;3.82E-05;0.9999;9.99E-01;5.00E-01;679;410;MINTO, ND;AT MINTO, ND;FOREST RIVER;FOREST RIVER;1
4113309;US_0003823;0.254;1.82E-05;0.9999;9.99E-01;5.00E-01;571;415;GRAFTON, ND;AT GRAFTON, ND;PARK RIVER;PARK RIVER;1
4113310;US_0003772;0.251;5.39E-06;1;1.00E+00;5.00E-01;321;423;NEAR ABERCROMBIE, ND;NEAR ABERCROMBIE, ND;WILD RICE RIVER;WILD RICE RIVER;1
4113315;US_0003810;0.21;8.46E-06;1;1.00E+00;5.00E-01;5;413;RED LAKE FALLS, MN;AT RED LAKE FALLS, MN;CLEARWATER RIVER;CLEARWATER RIVER;1
4113320;US_0003812;0.076;0.000239916;1;0.999222746;0.499605307;7;187;FISHER, MN;AT FISHER, MN;RED LAKE RIVER;RED LAKE RIVER;1
4113321;US_0003811;0.213;4.59E-05;1;1.00E+00;5.00E-01;3;414;CROOKSTON, MN;AT CROOKSTON, MN;RED LAKE RIVER;RED LAKE RIVER;1
4113330;US_0003766;0.167;9.75E-05;1;1.00E+00;5.00E-01;5;302;NEAR DORAN, MN;NEAR DORAN, MN;BOIS DE SIOUX RIVER;BOIS DE SIOUX RIVER;1
4113340;US_0003792;0.171;8.66E-06;1;1.00E+00;5.00E-01;6;242;BELOW MAPLETON, ND;BELOW MAPLETON, ND;MAPLE RIVER;MAPLE RIVER;1
4113350;US_0003829;0.183;0.000204238;1;0.999166155;0.499853644;64;325;WALHALLA, ND;AT WALHALLA, ND;PEMBINA RIVER;PEMBINA RIVER;1
4113351;US_0003830;0.238;0.001573881;1;0.993714808;0.477273436;3;410;NECHE, ND;AT NECHE, ND;PEMBINA RIVER;PEMBINA RIVER;1
4113355;US_0003780;0.07;1.33E-05;1;1.00E+00;5.00E-01;6;202;NEAR CHURCHS FERRY, ND;NEAR CHURCHS FERRY, ND;BIG COULEE;BIG COULEE;1
4113360;US_0003777;0.264;0.00093896;1;0.995087714;0.49979358;6;411;NEAR WARWICK, ND;NEAR WARWICK, ND;SHEYENNE RIVER;SHEYENNE RIVER;1
